data_pagamento,ano,mes,id_tempo
2017-12-27,2017,12,662
2017-12-28,2017,12,663
2017-12-29,2017,12,664
2018-01-02,2018,1,665
2018-01-03,2018,1,666
2018-01-05,2018,1,667
2018-01-09,2018,1,668
2018-01-10,2018,1,669
2018-01-11,2018,1,670
2018-01-15,2018,1,671
2018-01-16,2018,1,672
2018-01-18,2018,1,673
2018-01-19,2018,1,674
2018-01-23,2018,1,675
2018-01-24,2018,1,676
2018-01-25,2018,1,677
2018-01-26,2018,1,678
2018-01-29,2018,1,679
2018-01-30,2018,1,680
2018-01-31,2018,1,681
2018-02-01,2018,2,682
2018-02-02,2018,2,683
2018-02-05,2018,2,684
2018-02-06,2018,2,685
2018-02-07,2018,2,686
2018-02-08,2018,2,687
2018-02-09,2018,2,688
2018-02-15,2018,2,689
2018-02-16,2018,2,690
2018-02-19,2018,2,691
2018-02-20,2018,2,692
2018-02-21,2018,2,693
2018-02-22,2018,2,694
2018-02-23,2018,2,695
2018-02-26,2018,2,696
2018-02-27,2018,2,697
2018-02-28,2018,2,698
2018-03-01,2018,3,699
2018-03-05,2018,3,700
2018-03-06,2018,3,701
2018-03-08,2018,3,702
2018-03-09,2018,3,703
2018-03-12,2018,3,704
2018-03-13,2018,3,705
2018-03-14,2018,3,706
2018-03-15,2018,3,707
2018-03-16,2018,3,708
2018-03-19,2018,3,709
2018-03-20,2018,3,710
2018-03-22,2018,3,711
2018-03-23,2018,3,712
2018-03-26,2018,3,713
2018-03-27,2018,3,714
2018-03-28,2018,3,715
2018-03-29,2018,3,716
2018-04-02,2018,4,717
2018-04-03,2018,4,718
2018-04-04,2018,4,719
2018-04-06,2018,4,720
2018-04-09,2018,4,721
2018-04-10,2018,4,722
2018-04-11,2018,4,723
2018-04-12,2018,4,724
2018-04-13,2018,4,725
2018-04-16,2018,4,726
2018-04-17,2018,4,727
2018-04-18,2018,4,728
2018-04-19,2018,4,729
2018-04-20,2018,4,730
2018-04-23,2018,4,731
2018-04-24,2018,4,732
2018-04-25,2018,4,733
2018-04-26,2018,4,734
2018-04-27,2018,4,735
2018-04-30,2018,4,736
2018-05-02,2018,5,737
2018-05-03,2018,5,738
2018-05-04,2018,5,739
2018-05-07,2018,5,740
2018-05-08,2018,5,741
2018-05-09,2018,5,742
2018-05-10,2018,5,743
2018-05-11,2018,5,744
2018-05-14,2018,5,745
2018-05-16,2018,5,746
2018-05-17,2018,5,747
2018-05-18,2018,5,748
2018-05-21,2018,5,749
2018-05-22,2018,5,750
2018-05-23,2018,5,751
2018-05-24,2018,5,752
2018-05-25,2018,5,753
2018-05-28,2018,5,754
2018-05-29,2018,5,755
2018-05-30,2018,5,756
2018-06-04,2018,6,757
2018-06-05,2018,6,758
2018-06-06,2018,6,759
2018-06-07,2018,6,760
2018-06-08,2018,6,761
2018-06-11,2018,6,762
2018-06-12,2018,6,763
2018-06-13,2018,6,764
2018-06-14,2018,6,765
2018-06-18,2018,6,766
2018-06-19,2018,6,767
2018-06-20,2018,6,768
2018-06-21,2018,6,769
2018-06-22,2018,6,770
2018-06-25,2018,6,771
2018-06-26,2018,6,772
2018-06-27,2018,6,773
2018-06-28,2018,6,774
2018-06-29,2018,6,775
2018-07-02,2018,7,776
2018-07-03,2018,7,777
2018-07-04,2018,7,778
2018-07-05,2018,7,779
2018-07-06,2018,7,780
2018-07-09,2018,7,781
2018-07-10,2018,7,782
2018-07-11,2018,7,783
2018-07-12,2018,7,784
2018-07-13,2018,7,785
2018-07-16,2018,7,786
2018-07-17,2018,7,787
2018-07-18,2018,7,788
2018-07-19,2018,7,789
2018-07-20,2018,7,790
2018-07-23,2018,7,791
2018-07-24,2018,7,792
2018-07-25,2018,7,793
2018-07-26,2018,7,794
2018-07-27,2018,7,795
2018-07-30,2018,7,796
2018-07-31,2018,7,797
2018-08-01,2018,8,798
2018-08-02,2018,8,799
2018-08-03,2018,8,800
2018-08-06,2018,8,801
2018-08-07,2018,8,802
2018-08-08,2018,8,803
2018-08-09,2018,8,804
2018-08-10,2018,8,805
2018-08-13,2018,8,806
2018-08-14,2018,8,807
2018-08-16,2018,8,808
2018-08-17,2018,8,809
2018-08-20,2018,8,810
2018-08-21,2018,8,811
2018-08-22,2018,8,812
2018-08-23,2018,8,813
2018-08-24,2018,8,814
2018-08-27,2018,8,815
2018-08-28,2018,8,816
2018-08-29,2018,8,817
2018-08-30,2018,8,818
2018-08-31,2018,8,819
2018-09-03,2018,9,820
2018-09-04,2018,9,821
2018-09-05,2018,9,822
2018-09-06,2018,9,823
2018-09-10,2018,9,824
2018-09-11,2018,9,825
2018-09-12,2018,9,826
2018-09-13,2018,9,827
2018-09-14,2018,9,828
2018-09-17,2018,9,829
2018-09-19,2018,9,830
2018-09-20,2018,9,831
2018-09-21,2018,9,832
2018-09-24,2018,9,833
2018-09-25,2018,9,834
2018-09-26,2018,9,835
2018-09-27,2018,9,836
2018-09-28,2018,9,837
2018-10-01,2018,10,838
2018-10-02,2018,10,839
2018-10-03,2018,10,840
2018-10-04,2018,10,841
2018-10-05,2018,10,842
2018-10-08,2018,10,843
2018-10-09,2018,10,844
2018-10-10,2018,10,845
2018-10-11,2018,10,846
2018-10-16,2018,10,847
2018-10-18,2018,10,848
2018-10-19,2018,10,849
2018-10-22,2018,10,850
2018-10-23,2018,10,851
2018-10-24,2018,10,852
2018-10-25,2018,10,853
2018-10-26,2018,10,854
2018-10-29,2018,10,855
2018-10-30,2018,10,856
2018-10-31,2018,10,857
2018-11-01,2018,11,858
2018-11-05,2018,11,859
2018-11-06,2018,11,860
2018-11-07,2018,11,861
2018-11-08,2018,11,862
2018-11-09,2018,11,863
2018-11-12,2018,11,864
2018-11-13,2018,11,865
2018-11-14,2018,11,866
2018-11-16,2018,11,867
2018-11-19,2018,11,868
2018-11-20,2018,11,869
2018-11-21,2018,11,870
2018-11-22,2018,11,871
2018-11-23,2018,11,872
2018-11-26,2018,11,873
2018-11-27,2018,11,874
2018-11-28,2018,11,875
2018-11-29,2018,11,876
2018-11-30,2018,11,877
2018-12-03,2018,12,878
2018-12-04,2018,12,879
2018-12-05,2018,12,880
2018-12-06,2018,12,881
2018-12-07,2018,12,882
2018-12-10,2018,12,883
2018-12-11,2018,12,884
2018-12-12,2018,12,885
2018-12-13,2018,12,886
2018-12-14,2018,12,887
2018-12-17,2018,12,888
2018-12-18,2018,12,889
2018-12-19,2018,12,890
2018-12-20,2018,12,891
2018-12-21,2018,12,892
2018-12-24,2018,12,893
2018-12-26,2018,12,894
2018-12-27,2018,12,895
2018-12-28,2018,12,896
2018-12-31,2018,12,897
2019-01-02,2019,1,898
2019-01-03,2019,1,899
2019-01-07,2019,1,900
2019-01-08,2019,1,901
2019-01-09,2019,1,902
2019-01-10,2019,1,903
2019-01-11,2019,1,904
2019-01-14,2019,1,905
2019-01-15,2019,1,906
2019-01-16,2019,1,907
2019-01-17,2019,1,908
2019-01-18,2019,1,909
2019-01-21,2019,1,910
2019-01-22,2019,1,911
2019-01-23,2019,1,912
2019-01-24,2019,1,913
2019-01-25,2019,1,914
2019-01-28,2019,1,915
2019-01-29,2019,1,916
2019-01-30,2019,1,917
2019-01-31,2019,1,918
2019-02-01,2019,2,919
2019-02-04,2019,2,920
2019-02-05,2019,2,921
2019-02-06,2019,2,922
2019-02-07,2019,2,923
2019-02-08,2019,2,924
2019-02-11,2019,2,925
2019-02-12,2019,2,926
2019-02-13,2019,2,927
2019-02-14,2019,2,928
2019-02-18,2019,2,929
2019-02-19,2019,2,930
2019-02-20,2019,2,931
2019-02-21,2019,2,932
2019-02-22,2019,2,933
2019-02-25,2019,2,934
2019-02-27,2019,2,935
2019-02-28,2019,2,936
2019-03-01,2019,3,937
2019-03-06,2019,3,938
2019-03-07,2019,3,939
2019-03-08,2019,3,940
2019-03-11,2019,3,941
2019-03-12,2019,3,942
2019-03-13,2019,3,943
2019-03-14,2019,3,944
2019-03-15,2019,3,945
2019-03-18,2019,3,946
2019-03-19,2019,3,947
2019-03-20,2019,3,948
2019-03-21,2019,3,949
2019-03-22,2019,3,950
2019-03-25,2019,3,951
2019-03-26,2019,3,952
2019-03-27,2019,3,953
2019-03-28,2019,3,954
2019-03-29,2019,3,955
2019-04-01,2019,4,956
2019-04-02,2019,4,957
2019-04-03,2019,4,958
